frame,minimap_x_ratio,minimap_y_ratio,move_dir,target,champions,minions,towers
10590,0.304,0.262,STOPPED,"Blue Melee,1205,373",,"Blue Caster,877,280,0.0,Blue|Red Caster,1258,301,95.3,Red|Red Caster,1090,195,93.7,Red|Red Caster,1148,194,100.0,Red|Blue Caster,820,321,0.0,Blue|Blue Melee,1205,324,0.0,Blue|Blue Caster,852,369,3.0,Blue",
10593,0.304,0.262,STOPPED,"Blue Melee,1201,383",,"Blue Caster,878,280,0.0,Blue|Red Caster,1258,299,89.1,Red|Red Caster,1087,196,0.0,Red|Red Caster,1146,193,100.0,Red|Blue Melee,1201,330,0.0,Blue|Blue Caster,816,323,0.0,Blue",
10596,0.304,0.262,STOPPED,"Blue Melee,1199,393",,"Blue Caster,876,282,0.0,Blue|Red Caster,1255,301,90.5,Red|Red Caster,1090,196,0.0,Red|Red Caster,1143,195,100.0,Red|Blue Caster,811,328,0.0,Blue|Blue Melee,1198,334,0.0,Blue",
10599,0.304,0.262,STOPPED,"Blue Melee,1198,392",,"Blue Caster,877,282,0.0,Blue|Red Caster,1092,197,0.0,Red|Red Caster,1144,197,100.0,Red|Blue Caster,813,328,0.0,Blue|Blue Melee,1198,334,0.0,Blue|Blue Caster,862,361,0.0,Blue",
10602,0.304,0.262,STOPPED,"Blue Melee,1199,391",,"Blue Caster,877,280,0.0,Blue|Red Caster,1259,298,88.9,Red|Blue Caster,815,326,0.0,Blue|Red Caster,1089,199,0.0,Red|Blue Melee,1198,334,0.0,Blue|Blue Caster,866,360,95.2,Blue",
10605,0.304,0.262,STOPPED,"Blue Melee,1198,375",,"Blue Caster,878,281,0.0,Blue|Red Caster,1262,297,87.5,Red|Red Caster,1094,194,0.0,Red|Blue Caster,812,324,0.0,Blue|Blue Melee,1198,326,0.0,Blue",
10608,0.304,0.262,STOPPED,"Blue Melee,1202,357",,"Blue Caster,878,279,0.0,Blue|Red Caster,1261,302,88.9,Red|Red Caster,1143,199,100.0,Red|Red Caster,1093,195,0.0,Red|Blue Caster,816,307,0.0,Blue|Blue Melee,1202,316,0.0,Blue|Blue Caster,896,345,0.0,Blue",
10611,0.304,0.262,STOPPED,"Blue Caster,892,386",,"Red Caster,1258,301,90.5,Red|Blue Caster,877,278,0.0,Blue|Blue Melee,1189,321,100.0,Red|Red Caster,1097,194,0.0,Red",
10614,0.304,0.262,STOPPED,"Blue Caster,814,324",,"Blue Caster,813,279,0.0,Blue|Red Caster,1255,303,89.1,Red|Red Caster,1096,195,0.0,Red|Blue Caster,889,343,0.0,Blue|Blue Melee,1194,322,0.0,Blue",
10617,0.304,0.262,STOPPED,"Blue Caster,815,301",,"Red Caster,1258,300,84.4,Red|Red Caster,1143,197,100.0,Red|Red Caster,1097,195,0.0,Red|Blue Caster,814,261,0.0,Blue|Blue Melee,1201,318,0.0,Blue",
10620,0.304,0.262,45,NONE,"Garen,957,429,100.0,Red",,
10623,0.304,0.262,STOPPED,NONE,,,
10626,0.304,0.262,180,NONE,"Garen,956,430,100.0,Red",,
10629,0.304,0.262,180,NONE,"Garen,951,428,100.0,Red",,
10632,0.304,0.262,150,NONE,,,
10635,0.304,0.262,150,NONE,"Garen,954,422,100.0,Red",,
10638,0.304,0.262,150,NONE,"Garen,954,422,100.0,Red",,
10641,0.304,0.262,105,NONE,"Garen,952,420,100.0,Red",,
10644,0.304,0.262,165,NONE,"Garen,951,418,100.0,Red",,
10647,0.304,0.262,255,NONE,,,
